transaction_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash,,,,,
TX031,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,26.10267953,2/16/2019,2/18/2019,2/25/2019,RECEIVED,,,,,,,
TX032,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,725.654491,2/18/2019,2/20/2019,2/27/2019,RECEIVED,,,,,,,
TX033,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,43.50446589,2/20/2019,2/22/2019,3/1/2019,RECEIVED,,,,,,,
TX034,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,684.760293,2/21/2019,2/23/2019,3/2/2019,RECEIVED,,,,,,,
TX035,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,7.830803859,2/22/2019,2/24/2019,3/3/2019,RECEIVED,,,,,,,
TX036,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,34.76274644,2/23/2019,2/25/2019,3/4/2019,RECEIVED,,,,,,,
TX037,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,966.4043509,2/25/2019,2/27/2019,3/6/2019,RECEIVED,,,,,,,
TX038,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,57.93791073,2/26/2019,2/28/2019,3/7/2019,RECEIVED,,,,,,,
TX039,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,911.9427149,2/27/2019,3/1/2019,3/8/2019,RECEIVED,,,,,,,
TX040,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,10.42882393,2/28/2019,3/2/2019,3/9/2019,RECEIVED,,,,,,,
TX041,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,25.82491228,3/2/2019,3/4/2019,3/11/2019,RECEIVED,,,,,,,
TX042,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,717.9325614,3/4/2019,3/6/2019,3/13/2019,RECEIVED,,,,,,,
TX043,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,43.04152047,3/6/2019,3/8/2019,3/15/2019,RECEIVED,,,,,,,
TX044,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,677.4735322,3/7/2019,3/9/2019,3/16/2019,RECEIVED,,,,,,,
TX045,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,7.747473684,3/8/2019,3/10/2019,3/17/2019,RECEIVED,,,,,,,
TX046,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,22.86208796,3/9/2019,3/11/2019,3/18/2019,RECEIVED,,,,,,,
TX047,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,635.5660453,3/10/2019,3/12/2019,3/19/2019,RECEIVED,,,,,,,
TX048,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,38.10347993,3/12/2019,3/14/2019,3/21/2019,RECEIVED,,,,,,,
TX049,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,599.7487741,3/14/2019,3/16/2019,3/23/2019,RECEIVED,,,,,,,
TX050,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,6.858626388,3/16/2019,3/18/2019,3/25/2019,RECEIVED,,,,,,,
TX051,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,34.9074383,3/17/2019,3/19/2019,3/26/2019,RECEIVED,,,,,,,
TX052,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,970.4267847,3/19/2019,3/21/2019,3/28/2019,RECEIVED,,,,,,,
TX053,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,58.17906383,3/21/2019,3/23/2019,3/30/2019,RECEIVED,,,,,,,
TX054,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,915.7384647,3/22/2019,3/24/2019,3/31/2019,RECEIVED,,,,,,,
TX055,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,10.47223149,3/24/2019,3/26/2019,4/2/2019,RECEIVED,,,,,,,
TX056,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,26.15473684,3/25/2019,3/27/2019,4/3/2019,RECEIVED,,,,,,,
TX057,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,727.1016842,3/26/2019,3/28/2019,4/4/2019,RECEIVED,,,,,,,
TX058,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,43.59122807,3/28/2019,3/30/2019,4/6/2019,RECEIVED,,,,,,,
TX059,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,686.1259298,3/30/2019,4/1/2019,4/8/2019,RECEIVED,,,,,,,
TX060,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,7.846421053,3/31/2019,4/2/2019,4/9/2019,RECEIVED,,,,,,,
TX061,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,31.99205414,4/2/2019,4/4/2019,4/11/2019,RECEIVED,,,,,,,
TX062,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,889.3791052,4/3/2019,4/5/2019,4/12/2019,RECEIVED,,,,,,,
TX063,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,53.32009024,4/5/2019,4/7/2019,4/14/2019,RECEIVED,,,,,,,
TX064,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,839.2582204,4/7/2019,4/9/2019,4/16/2019,RECEIVED,,,,,,,
TX065,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,9.597616243,4/9/2019,4/11/2019,4/18/2019,RECEIVED,,,,,,,
TX066,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,25.92319277,4/10/2019,4/12/2019,4/19/2019,RECEIVED,,,,,,,
TX067,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,720.664759,4/11/2019,4/13/2019,4/20/2019,RECEIVED,,,,,,,
TX068,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,43.20532128,4/12/2019,4/14/2019,4/21/2019,RECEIVED,,,,,,,
TX069,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,680.051757,4/13/2019,4/15/2019,4/22/2019,RECEIVED,,,,,,,
TX070,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,7.776957831,4/15/2019,4/17/2019,4/24/2019,RECEIVED,,,,,,,
TX071,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,14.03024561,4/16/2019,4/18/2019,4/25/2019,RECEIVED,,,,,,,
TX072,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,390.0408281,4/17/2019,4/19/2019,4/26/2019,RECEIVED,,,,,,,
TX073,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,23.38374269,4/19/2019,4/21/2019,4/28/2019,RECEIVED,,,,,,,
TX074,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,368.0601099,4/21/2019,4/23/2019,4/30/2019,RECEIVED,,,,,,,
TX075,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,4.209073684,4/22/2019,4/24/2019,5/1/2019,RECEIVED,,,,,,,
TX076,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,3.285635977,4/24/2019,4/26/2019,5/3/2019,RECEIVED,,,,,,,
TX077,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,91.34068015,4/25/2019,4/27/2019,5/4/2019,RECEIVED,,,,,,,
TX078,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,5.476059961,4/27/2019,4/29/2019,5/6/2019,RECEIVED,,,,,,,
TX079,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,86.19318379,4/29/2019,5/1/2019,5/8/2019,RECEIVED,,,,,,,
TX080,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.985690793,5/1/2019,5/3/2019,5/10/2019,RECEIVED,,,,,,,
TX081,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,34.87307933,5/3/2019,5/5/2019,5/12/2019,RECEIVED,,,,,,,
TX082,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,969.4716053,5/4/2019,5/6/2019,5/13/2019,RECEIVED,,,,,,,
TX083,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,58.12179888,5/6/2019,5/8/2019,5/15/2019,RECEIVED,,,,,,,
TX084,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,914.8371144,5/8/2019,5/10/2019,5/17/2019,RECEIVED,,,,,,,
TX085,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,10.4619238,5/10/2019,5/12/2019,5/19/2019,RECEIVED,,,,,,,
TX086,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,69.08486557,5/11/2019,5/13/2019,5/20/2019,RECEIVED,,,,,,,
TX087,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,1920.559263,5/12/2019,5/14/2019,5/21/2019,RECEIVED,,,,,,,
TX088,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,115.1414426,5/13/2019,5/15/2019,5/22/2019,RECEIVED,,,,,,,
TX089,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,1812.326307,5/14/2019,5/16/2019,5/23/2019,RECEIVED,,,,,,,
TX090,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,20.72545967,5/16/2019,5/18/2019,5/25/2019,RECEIVED,,,,,,,
TX091,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,2.812007885,5/18/2019,5/20/2019,5/27/2019,RECEIVED,,,,,,,
TX092,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,78.17381921,5/20/2019,5/22/2019,5/29/2019,RECEIVED,,,,,,,
TX093,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,4.686679809,5/22/2019,5/24/2019,5/31/2019,RECEIVED,,,,,,,
TX094,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,73.76834019,5/23/2019,5/25/2019,6/1/2019,RECEIVED,,,,,,,
TX095,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.843602366,5/25/2019,5/27/2019,6/3/2019,RECEIVED,,,,,,,
TX096,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,3.406290229,5/27/2019,5/29/2019,6/5/2019,RECEIVED,,,,,,,
TX097,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,94.69486838,5/28/2019,5/30/2019,6/6/2019,RECEIVED,,,,,,,
TX098,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,5.677150382,5/30/2019,6/1/2019,6/8/2019,RECEIVED,,,,,,,
TX099,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,89.35834702,5/31/2019,6/2/2019,6/9/2019,RECEIVED,,,,,,,
TX100,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,1.021887069,6/2/2019,6/4/2019,6/11/2019,RECEIVED,,,,,,,
TX101,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,45.74031348,6/3/2019,6/5/2019,6/12/2019,RECEIVED,,,,,,,
TX102,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,1271.580715,6/5/2019,6/7/2019,6/14/2019,RECEIVED,,,,,,,
TX103,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,76.2338558,6/7/2019,6/9/2019,6/16/2019,RECEIVED,,,,,,,
TX104,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,1199.92089,6/9/2019,6/11/2019,6/18/2019,RECEIVED,,,,,,,
TX105,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,13.72209404,6/10/2019,6/12/2019,6/19/2019,RECEIVED,,,,,,,
TX106,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,0.025875871,6/12/2019,6/14/2019,6/21/2019,RECEIVED,,,,,,,
TX107,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,0.719349218,6/14/2019,6/16/2019,6/23/2019,RECEIVED,,,,,,,
TX108,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,0.043126452,6/16/2019,6/18/2019,6/25/2019,RECEIVED,,,,,,,
TX109,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,0.678810354,6/18/2019,6/20/2019,6/27/2019,RECEIVED,,,,,,,
TX110,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.007762761,6/19/2019,6/21/2019,6/28/2019,RECEIVED,,,,,,,
TX111,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,24.91986435,6/21/2019,6/23/2019,6/30/2019,RECEIVED,,,,,,,
TX112,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,692.7722291,6/22/2019,6/24/2019,7/1/2019,RECEIVED,,,,,,,
TX113,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,41.53310726,6/23/2019,6/25/2019,7/2/2019,RECEIVED,,,,,,,
TX114,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,653.7311082,6/25/2019,6/27/2019,7/4/2019,RECEIVED,,,,,,,
TX115,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,7.475959306,6/26/2019,6/28/2019,7/5/2019,RECEIVED,,,,,,,
TX116,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,0.064828143,6/28/2019,6/30/2019,7/7/2019,RECEIVED,,,,,,,
TX117,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,1.802222379,6/29/2019,7/1/2019,7/8/2019,RECEIVED,,,,,,,
TX118,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,0.108046905,7/1/2019,7/3/2019,7/10/2019,RECEIVED,,,,,,,
TX119,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,1.700658288,7/3/2019,7/5/2019,7/12/2019,RECEIVED,,,,,,,
TX120,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.019448443,7/4/2019,7/6/2019,7/13/2019,RECEIVED,,,,,,,
TX121,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,7.220320683,7/5/2019,7/7/2019,7/14/2019,RECEIVED,,,,,,,
TX122,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,200.724915,7/6/2019,7/8/2019,7/15/2019,RECEIVED,,,,,,,
TX123,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,12.03386781,7/7/2019,7/9/2019,7/16/2019,RECEIVED,,,,,,,
TX124,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,189.4130793,7/9/2019,7/11/2019,7/18/2019,RECEIVED,,,,,,,
TX125,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,2.166096205,7/10/2019,7/12/2019,7/19/2019,RECEIVED,,,,,,,
TX126,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,23.51166715,7/11/2019,7/13/2019,7/20/2019,RECEIVED,,,,,,,
TX127,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,653.6243467,7/13/2019,7/15/2019,7/22/2019,RECEIVED,,,,,,,
TX128,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,39.18611191,7/14/2019,7/16/2019,7/23/2019,RECEIVED,,,,,,,
TX129,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,616.7894015,7/15/2019,7/17/2019,7/24/2019,RECEIVED,,,,,,,
TX130,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,7.053500144,7/17/2019,7/19/2019,7/26/2019,RECEIVED,,,,,,,
TX131,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,1.834931393,7/18/2019,7/20/2019,7/27/2019,RECEIVED,,,,,,,
TX132,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,51.01109272,7/19/2019,7/21/2019,7/28/2019,RECEIVED,,,,,,,
TX133,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,3.058218988,7/21/2019,7/23/2019,7/30/2019,RECEIVED,,,,,,,
TX134,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,48.13636688,7/23/2019,7/25/2019,8/1/2019,RECEIVED,,,,,,,
TX135,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.550479418,7/24/2019,7/26/2019,8/2/2019,RECEIVED,,,,,,,
TX136,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,33.19860862,7/26/2019,7/28/2019,8/4/2019,RECEIVED,,,,,,,
TX137,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,922.9213196,7/27/2019,7/29/2019,8/5/2019,RECEIVED,,,,,,,
TX138,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,55.33101437,7/28/2019,7/30/2019,8/6/2019,RECEIVED,,,,,,,
TX139,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,870.9101661,7/29/2019,7/31/2019,8/7/2019,RECEIVED,,,,,,,
TX140,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,9.959582586,7/31/2019,8/2/2019,8/9/2019,RECEIVED,,,,,,,
TX141,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,33.39692547,8/1/2019,8/3/2019,8/10/2019,RECEIVED,,,,,,,
TX142,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,928.4345282,8/2/2019,8/4/2019,8/11/2019,RECEIVED,,,,,,,
TX143,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,55.66154246,8/3/2019,8/5/2019,8/12/2019,RECEIVED,,,,,,,
TX144,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,876.1126783,8/5/2019,8/7/2019,8/14/2019,RECEIVED,,,,,,,
TX145,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,10.01907764,8/7/2019,8/9/2019,8/16/2019,RECEIVED,,,,,,,
TX146,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,46.15095114,8/8/2019,8/10/2019,8/17/2019,RECEIVED,,,,,,,
TX147,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,1282.996442,8/10/2019,8/12/2019,8/19/2019,RECEIVED,,,,,,,
TX148,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,76.9182519,8/12/2019,8/14/2019,8/21/2019,RECEIVED,,,,,,,
TX149,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,1210.693285,8/13/2019,8/15/2019,8/22/2019,RECEIVED,,,,,,,
TX150,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,13.84528534,8/15/2019,8/17/2019,8/24/2019,RECEIVED,,,,,,,
TX151,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,30.76730076,8/17/2019,8/19/2019,8/26/2019,RECEIVED,,,,,,,
TX152,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,855.3309611,8/18/2019,8/20/2019,8/27/2019,RECEIVED,,,,,,,
TX153,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,51.2788346,8/20/2019,8/22/2019,8/29/2019,RECEIVED,,,,,,,
TX154,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,807.1288566,8/21/2019,8/23/2019,8/30/2019,RECEIVED,,,,,,,
TX155,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,9.230190228,8/22/2019,8/24/2019,8/31/2019,RECEIVED,,,,,,,
