transaction_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash
TX015,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,67.58562316,1/23/2020,1/25/2020,2/1/2020,RECEIVED,,
TX016,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,22.907172,1/25/2020,1/27/2020,2/3/2020,RECEIVED,,
TX017,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,26.50416595,1/26/2020,1/28/2020,2/4/2020,RECEIVED,,
TX018,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,56.03737943,1/28/2020,1/30/2020,2/6/2020,RECEIVED,,
TX019,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,13.25208297,1/30/2020,2/1/2020,2/8/2020,RECEIVED,,
TX020,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,96.55089023,2/1/2020,2/3/2020,2/10/2020,RECEIVED,,
TX021,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,1.177228891,2/2/2020,2/4/2020,2/11/2020,RECEIVED,,
TX022,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,10.7417059,2/3/2020,2/5/2020,2/12/2020,RECEIVED,,
TX023,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,3.640746257,2/4/2020,2/6/2020,2/13/2020,RECEIVED,,
TX024,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,4.212433686,2/6/2020,2/8/2020,2/15/2020,RECEIVED,,
TX025,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,8.906288365,2/8/2020,2/10/2020,2/17/2020,RECEIVED,,
TX026,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,2.106216843,2/9/2020,2/11/2020,2/18/2020,RECEIVED,,
TX027,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,15.34529414,2/11/2020,2/13/2020,2/20/2020,RECEIVED,,
TX028,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,0.188502655,2/13/2020,2/15/2020,2/22/2020,RECEIVED,,
TX029,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,15.18470645,2/15/2020,2/17/2020,2/24/2020,RECEIVED,,
TX030,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,5.146637201,2/17/2020,2/19/2020,2/26/2020,RECEIVED,,
TX031,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,5.954786844,2/18/2020,2/20/2020,2/27/2020,RECEIVED,,
TX032,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,12.59012076,2/20/2020,2/22/2020,2/29/2020,RECEIVED,,
TX033,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,2.977393422,2/22/2020,2/24/2020,3/2/2020,RECEIVED,,
TX034,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,21.69243779,2/24/2020,2/26/2020,3/4/2020,RECEIVED,,
TX035,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,0.2679226,2/26/2020,2/28/2020,3/6/2020,RECEIVED,,
TX036,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,658.1799968,2/27/2020,2/29/2020,3/7/2020,RECEIVED,,
TX037,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,223.0806152,2/29/2020,3/2/2020,3/9/2020,RECEIVED,,
TX038,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,258.1098027,3/1/2020,3/3/2020,3/10/2020,RECEIVED,,
TX039,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,545.7178685,3/2/2020,3/4/2020,3/11/2020,RECEIVED,,
TX040,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,129.0549013,3/4/2020,3/6/2020,3/13/2020,RECEIVED,,
TX041,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,940.2571383,3/6/2020,3/8/2020,3/15/2020,RECEIVED,,
TX042,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,11.61422286,3/7/2020,3/9/2020,3/16/2020,RECEIVED,,
TX043,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,532.5096868,3/8/2020,3/10/2020,3/17/2020,RECEIVED,,
TX044,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,180.4864765,3/10/2020,3/12/2020,3/19/2020,RECEIVED,,
TX045,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,208.8273282,3/11/2020,3/13/2020,3/20/2020,RECEIVED,,
TX046,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,441.5206367,3/13/2020,3/15/2020,3/22/2020,RECEIVED,,
TX047,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,104.4136641,3/14/2020,3/16/2020,3/23/2020,RECEIVED,,
TX048,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,760.728124,3/16/2020,3/18/2020,3/25/2020,RECEIVED,,
TX049,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,9.396203626,3/18/2020,3/20/2020,3/27/2020,RECEIVED,,
TX050,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,399.6273293,3/20/2020,3/22/2020,3/29/2020,RECEIVED,,
TX051,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,135.4479183,3/22/2020,3/24/2020,3/31/2020,RECEIVED,,
TX052,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,156.7165997,3/23/2020,3/25/2020,4/1/2020,RECEIVED,,
TX053,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,331.343668,3/24/2020,3/26/2020,4/2/2020,RECEIVED,,
TX054,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,78.35829987,3/25/2020,3/27/2020,4/3/2020,RECEIVED,,
TX055,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,570.8961847,3/26/2020,3/28/2020,4/4/2020,RECEIVED,,
TX056,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,7.05149,3/28/2020,3/30/2020,4/6/2020,RECEIVED,,
TX057,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,228.2786208,3/29/2020,3/31/2020,4/7/2020,RECEIVED,,
TX058,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,77.37174542,3/30/2020,4/1/2020,4/8/2020,RECEIVED,,
TX059,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,89.52102775,4/1/2020,4/3/2020,4/10/2020,RECEIVED,,
TX060,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,189.2730301,4/2/2020,4/4/2020,4/11/2020,RECEIVED,,
TX061,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,44.76051388,4/4/2020,4/6/2020,4/13/2020,RECEIVED,,
TX062,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,326.1123154,4/6/2020,4/8/2020,4/15/2020,RECEIVED,,
TX063,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,4.028131185,4/8/2020,4/10/2020,4/17/2020,RECEIVED,,
TX064,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,530.4153333,4/10/2020,4/12/2020,4/19/2020,RECEIVED,,
TX065,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,179.7766256,4/12/2020,4/14/2020,4/21/2020,RECEIVED,,
TX066,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,208.006013,4/13/2020,4/15/2020,4/22/2020,RECEIVED,,
TX067,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,439.7841419,4/14/2020,4/16/2020,4/23/2020,RECEIVED,,
TX068,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,104.0030065,4/16/2020,4/18/2020,4/25/2020,RECEIVED,,
TX069,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,757.7361904,4/18/2020,4/20/2020,4/27/2020,RECEIVED,,
TX070,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,9.359479697,4/19/2020,4/21/2020,4/28/2020,RECEIVED,,
TX071,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,502.3567847,4/20/2020,4/22/2020,4/29/2020,RECEIVED,,
TX072,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,170.2665853,4/21/2020,4/23/2020,4/30/2020,RECEIVED,,
TX073,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,197.0026607,4/23/2020,4/25/2020,5/2/2020,RECEIVED,,
TX074,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,416.5199112,4/25/2020,4/27/2020,5/4/2020,RECEIVED,,
TX075,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,98.50133034,4/27/2020,4/29/2020,5/6/2020,RECEIVED,,
TX076,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,717.6525496,4/28/2020,4/30/2020,5/7/2020,RECEIVED,,
TX077,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,8.797196175,4/29/2020,5/1/2020,5/8/2020,RECEIVED,,
TX078,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,399.0290197,4/30/2020,5/2/2020,5/9/2020,RECEIVED,,
TX079,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,135.2451299,5/1/2020,5/3/2020,5/10/2020,RECEIVED,,
TX080,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,156.4819685,5/2/2020,5/4/2020,5/11/2020,RECEIVED,,
TX081,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,330.8475905,5/4/2020,5/6/2020,5/13/2020,RECEIVED,,
TX082,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,78.24098425,5/5/2020,5/7/2020,5/14/2020,RECEIVED,,
TX083,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,570.0414567,5/7/2020,5/9/2020,5/16/2020,RECEIVED,,
TX084,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,7.040954295,5/9/2020,5/11/2020,5/18/2020,RECEIVED,,
TX085,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,43.49521687,5/10/2020,5/12/2020,5/19/2020,RECEIVED,,
TX086,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,14.74207631,5/11/2020,5/13/2020,5/20/2020,RECEIVED,,
TX087,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,17.05694779,5/12/2020,5/14/2020,5/21/2020,RECEIVED,,
TX088,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,36.06326104,5/13/2020,5/15/2020,5/22/2020,RECEIVED,,
TX089,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,8.528473896,5/14/2020,5/16/2020,5/23/2020,RECEIVED,,
TX090,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,62.1360241,5/15/2020,5/17/2020,5/24/2020,RECEIVED,,
TX091,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,0.767442653,5/16/2020,5/18/2020,5/25/2020,RECEIVED,,
TX092,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,169.2595551,5/18/2020,5/20/2020,5/27/2020,RECEIVED,,
TX093,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,57.36808451,5/19/2020,5/21/2020,5/28/2020,RECEIVED,,
TX094,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,66.37629613,5/20/2020,5/22/2020,5/29/2020,RECEIVED,,
TX095,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,140.3384547,5/21/2020,5/23/2020,5/30/2020,RECEIVED,,
TX096,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,33.18814806,5/23/2020,5/25/2020,6/1/2020,RECEIVED,,
TX097,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,241.7993645,5/24/2020,5/26/2020,6/2/2020,RECEIVED,,
TX098,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,2.986696579,5/26/2020,5/28/2020,6/4/2020,RECEIVED,,
TX099,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,1049.364837,5/28/2020,5/30/2020,6/6/2020,RECEIVED,,
TX100,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,355.6670736,5/30/2020,6/1/2020,6/8/2020,RECEIVED,,
TX101,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,411.5156224,6/1/2020,6/3/2020,6/10/2020,RECEIVED,,
TX102,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,870.0616016,6/3/2020,6/5/2020,6/12/2020,RECEIVED,,
TX103,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,205.7578112,6/4/2020,6/6/2020,6/13/2020,RECEIVED,,
TX104,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,1499.092624,6/6/2020,6/8/2020,6/15/2020,RECEIVED,,
TX105,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,18.42536869,6/7/2020,6/9/2020,6/16/2020,RECEIVED,,
TX106,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,23.72611648,6/9/2020,6/11/2020,6/18/2020,RECEIVED,,
TX107,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,8.041624915,6/11/2020,6/13/2020,6/20/2020,RECEIVED,,
TX108,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,9.304359406,6/12/2020,6/14/2020,6/21/2020,RECEIVED,,
TX109,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,19.67207417,6/13/2020,6/15/2020,6/22/2020,RECEIVED,,
TX110,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,4.652179703,6/14/2020,6/16/2020,6/23/2020,RECEIVED,,
TX111,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,33.89445212,6/16/2020,6/18/2020,6/25/2020,RECEIVED,,
TX112,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,0.41548817,6/18/2020,6/20/2020,6/27/2020,RECEIVED,,
TX113,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,225.0048386,6/19/2020,6/21/2020,6/28/2020,RECEIVED,,
TX114,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,76.26214417,6/20/2020,6/22/2020,6/29/2020,RECEIVED,,
TX115,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,88.2371916,6/21/2020,6/23/2020,6/30/2020,RECEIVED,,
TX116,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,186.5586337,6/23/2020,6/25/2020,7/2/2020,RECEIVED,,
TX117,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,44.1185958,6/24/2020,6/26/2020,7/3/2020,RECEIVED,,
TX118,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,321.4354837,6/25/2020,6/27/2020,7/4/2020,RECEIVED,,
TX119,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,3.970042815,6/26/2020,6/28/2020,7/5/2020,RECEIVED,,
TX120,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,700.9175582,6/28/2020,6/30/2020,7/7/2020,RECEIVED,,
TX121,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,237.5658951,6/30/2020,7/2/2020,7/9/2020,RECEIVED,,
TX122,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,274.8696307,7/1/2020,7/3/2020,7/10/2020,RECEIVED,,
TX123,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,581.1529334,7/3/2020,7/5/2020,7/12/2020,RECEIVED,,
TX124,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,137.4348153,7/4/2020,7/6/2020,7/13/2020,RECEIVED,,
TX125,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,1001.310797,7/5/2020,7/7/2020,7/14/2020,RECEIVED,,
TX126,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,12.3671574,7/7/2020,7/9/2020,7/16/2020,RECEIVED,,
TX127,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,0.238927459,7/8/2020,7/10/2020,7/17/2020,RECEIVED,,
TX128,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,0.080981016,7/9/2020,7/11/2020,7/18/2020,RECEIVED,,
TX129,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,0.093697043,7/10/2020,7/12/2020,7/19/2020,RECEIVED,,
TX130,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,0.198102319,7/12/2020,7/14/2020,7/21/2020,RECEIVED,,
TX131,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,0.046848521,7/14/2020,7/16/2020,7/23/2020,RECEIVED,,
TX132,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,0.341324942,7/16/2020,7/18/2020,7/25/2020,RECEIVED,,
TX133,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,0.004215709,7/18/2020,7/20/2020,7/27/2020,RECEIVED,,
TX134,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,228.4110502,7/20/2020,7/22/2020,7/29/2020,RECEIVED,,
TX135,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,77.41663047,7/22/2020,7/24/2020,7/31/2020,RECEIVED,,
TX136,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,89.57296087,7/23/2020,7/25/2020,8/1/2020,RECEIVED,,
TX137,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,189.3828316,7/24/2020,7/26/2020,8/2/2020,RECEIVED,,
TX138,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,44.78648043,7/25/2020,7/27/2020,8/3/2020,RECEIVED,,
TX139,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,326.3015003,7/27/2020,7/29/2020,8/5/2020,RECEIVED,,
TX140,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,3.933115522,7/28/2020,7/30/2020,8/6/2020,RECEIVED,,
TX141,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,0.587851878,7/29/2020,7/31/2020,8/7/2020,RECEIVED,,
TX142,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,0.199243914,7/30/2020,8/1/2020,8/8/2020,RECEIVED,,
TX143,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,0.230530148,8/1/2020,8/3/2020,8/10/2020,RECEIVED,,
TX144,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,0.487406599,8/3/2020,8/5/2020,8/12/2020,RECEIVED,,
TX145,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,0.115265074,8/4/2020,8/6/2020,8/13/2020,RECEIVED,,
TX146,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,0.839788397,8/5/2020,8/7/2020,8/14/2020,RECEIVED,,
TX147,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,0.010122493,8/6/2020,8/8/2020,8/15/2020,RECEIVED,,
TX148,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,67.29586158,8/7/2020,8/9/2020,8/16/2020,RECEIVED,,
TX149,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,22.80896149,8/8/2020,8/10/2020,8/17/2020,RECEIVED,,
TX150,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,26.39053395,8/10/2020,8/12/2020,8/19/2020,RECEIVED,,
TX151,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,55.79712893,8/11/2020,8/13/2020,8/20/2020,RECEIVED,,
TX152,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,13.19526698,8/13/2020,8/15/2020,8/22/2020,RECEIVED,,
TX153,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,96.13694511,8/15/2020,8/17/2020,8/24/2020,RECEIVED,,
TX154,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,1.158798567,8/17/2020,8/19/2020,8/26/2020,RECEIVED,,
TX155,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,213.2158737,8/19/2020,8/21/2020,8/28/2020,RECEIVED,,
TX156,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,72.26644459,8/20/2020,8/22/2020,8/29/2020,RECEIVED,,
TX157,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,83.61406812,8/21/2020,8/23/2020,8/30/2020,RECEIVED,,
TX158,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,176.7840297,8/22/2020,8/24/2020,8/31/2020,RECEIVED,,
TX159,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,41.80703406,8/23/2020,8/25/2020,9/1/2020,RECEIVED,,
TX160,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,304.5941053,8/24/2020,8/26/2020,9/2/2020,RECEIVED,,
TX161,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,3.762031981,8/25/2020,8/27/2020,9/3/2020,RECEIVED,,
TX162,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,19.14504989,8/26/2020,8/28/2020,9/4/2020,RECEIVED,,
TX163,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,6.488938479,8/28/2020,8/30/2020,9/6/2020,RECEIVED,,
TX164,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,7.507862703,8/29/2020,8/31/2020,9/7/2020,RECEIVED,,
TX165,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,15.87376686,8/31/2020,9/2/2020,9/9/2020,RECEIVED,,
